town,flat_type,flat_model,floor_area_sqm,street_name,Resale Price,month,lease_commence_date,storey_range,full_address,Primary School,Distance From Nearest School
WOODLANDS,4 ROOM,Model A2,101,WOODLANDS CIRCLE,215000,2001-06,1997,07 TO 09,728 WOODLANDS CIRCLE,Admiralty Primary School,0.131
WOODLANDS,4 ROOM,Model A,101,WOODLANDS CRES,201000,2002-07,1998,04 TO 06,776 Woodlands Crescent,Admiralty Primary School,0.56
WOODLANDS,4 ROOM,Model A,103,WOODLANDS AVE 6,383000,2011-04,1997,04 TO 06,723 WOODLANDS AVE 6,Admiralty Primary School,0.296
WOODLANDS,4 ROOM,Model A,101,WOODLANDS RING RD,475000,2022-12,1998,04 TO 06,611 WOODLANDS RING RD,Admiralty Primary School,0.926
WOODLANDS,4 ROOM,Model A,100,WOODLANDS RING RD,385888,2014-09,1998,10 TO 12,655 WOODLANDS RING RD,Admiralty Primary School,0.669
WOODLANDS,4 ROOM,MODEL A,108,WOODLANDS ST 81,246000,1999-09,1996,07 TO 09,872 WOODLANDS ST 81,Admiralty Primary School,1.172
WOODLANDS,4 ROOM,Model A,103,WOODLANDS CIRCLE,230000,2001-11,1997,01 TO 03,753 WOODLANDS CIRCLE,Admiralty Primary School,0.7
WOODLANDS,4 ROOM,MODEL A,111,WOODLANDS ST 82,268000,1999-09,1996,07 TO 09,822 WOODLANDS ST 82,Admiralty Primary School,1.211
WOODLANDS,4 ROOM,Model A,103,WOODLANDS ST 81,185000,2002-05,1989,07 TO 09,801 WOODLANDS ST 81,Admiralty Primary School,1.599
BISHAN,4 ROOM,Model A,114,SIN MING AVE,363000,2000-05,1989,10 TO 12,454 SIN MING AVE,Ai Tong Primary School,0.318
BISHAN,4 ROOM,Model A,103,BISHAN ST 24,305000,2002-02,1992,04 TO 06,287 BISHAN ST 24,Ai Tong Primary School,1.238
BISHAN,4 ROOM,MODEL A,104,BISHAN ST 22,330000,1999-10,1992,04 TO 06,262 BISHAN ST 22,Ai Tong Primary School,1.039
BISHAN,4 ROOM,Model A,105,BISHAN ST 23,348000,2000-01,1992,01 TO 03,213 BISHAN ST 23,Ai Tong Primary School,1.724
BISHAN,4 ROOM,Model A,102,BISHAN ST 24,323000,2000-02,1992,01 TO 03,265 BISHAN ST 24,Ai Tong Primary School,1.039
BISHAN,4 ROOM,MODEL A,104,BISHAN ST 23,255000,1993-12,1992,01 TO 03,229 BISHAN ST 23,Ai Tong Primary School,1.476
BISHAN,4 ROOM,MODEL A,116,BISHAN ST 23,370000,1995-09,1992,01 TO 03,204 BISHAN ST 23,Ai Tong Primary School,1.74
BISHAN,4 ROOM,MODEL A,107,BISHAN ST 24,338000,1999-09,1992,01 TO 03,272 BISHAN ST 24,Ai Tong Primary School,1.189
SERANGOON,4 ROOM,Model A,105,SERANGOON AVE 3,441888,2010-07,1985,01 TO 03,235 SERANGOON AVE 3,Anderson Secondary School,0.567
ANG MO KIO,4 ROOM,Model A,108,ANG MO KIO AVE 3,305000,2004-08,1993,01 TO 03,423 ANG MO KIO AVE 3,Deyi Secondary School,0.321
TOA PAYOH,5 ROOM,MODEL A,132,JOO SENG RD,267000,1993-11,1984,01 TO 03,16 JOO SENG ROAD JOO SENG HEIGHTS ,Bartley Secondary School,0.474
BEDOK,4 ROOM,Model A,104,BEDOK RESERVOIR RD,265000,2008-07,1984,01 TO 03,718 BEDOK RESERVOIR RD,Damai Secondary School,0.153
TAMPINES,4 ROOM,Model A,105,TAMPINES ST 32,288000,2000-08,1993,01 TO 03,301 TAMPINES ST 32,Ngee Ann Secondary School,0.188
TAMPINES,4 ROOM,MODEL A,104,TAMPINES ST 91,122000,1993-08,1983,01 TO 03,925 TAMPINES ST 91,Tampines Secondary School,0.483
QUEENSTOWN,4 ROOM,Model A,106,C'WEALTH AVE,417000,2000-04,1996,07 TO 09,7 C'WEALTH AVE,Queensway Secondary School,1.079
PUNGGOL,4 ROOM,Model A,93,PUNGGOL CTRL,375000,2020-11,2012,01 TO 03,602B PUNGGOL CTRL,Punggol Secondary School,0.282
BUKIT MERAH,4 ROOM,Model A,87,KIM TIAN RD,775000,2021-01,2013,10 TO 12,126C KIM TIAN RD,Outram Secondary School,0.986
PUNGGOL,4 ROOM,Model A,95,PUNGGOL CTRL,373000,2018-07,2014,01 TO 03,622A PUNGGOL CTRL,Horizon Secondary School,0.265
CHOA CHU KANG,4 ROOM,Model A,92,CHOA CHU KANG AVE 5,355000,2017-06,2013,01 TO 03,476B CHOA CHU KANG AVE 5,Chua Chu Kang Primary School,0.48
WOODLANDS,4 ROOM,Model A,101,WOODLANDS DR 70,425000,2022-01,1997,01 TO 03,Evergreen Primary School,0.451
